name,m_f,approx_percentage,num_in_us,rank,source_census,source_web
GENIA,f,0.002,"3,036",2798,1990,http://names.mongabay.com/female_names_alpha.htm
GENIE,f,0.002,"3,036",2568,1990,http://names.mongabay.com/female_names_alpha.htm
GENNA,f,0.001,"1,518",3434,1990,http://names.mongabay.com/female_names_alpha.htm
GENNIE,f,0.002,"3,036",2955,1990,http://names.mongabay.com/female_names_alpha.htm
GENNY,f,0.001,"1,518",3326,1990,http://names.mongabay.com/female_names_alpha.htm
GENOVEVA,f,0.005,"7,590",1378,1990,http://names.mongabay.com/female_names_alpha.htm
GEORGANN,f,0.001,"1,518",3510,1990,http://names.mongabay.com/female_names_alpha.htm
GEORGE,f,0.005,"7,590",1316,1990,http://names.mongabay.com/female_names_alpha.htm
GEORGEANN,f,0.001,"1,518",3433,1990,http://names.mongabay.com/female_names_alpha.htm
GEORGEANNA,f,0.001,"1,518",3566,1990,http://names.mongabay.com/female_names_alpha.htm
GEORGENE,f,0.002,"3,036",2214,1990,http://names.mongabay.com/female_names_alpha.htm
GEORGETTA,f,0.003,"4,554",2080,1990,http://names.mongabay.com/female_names_alpha.htm
GEORGETTE,f,0.011,"16,699",863,1990,http://names.mongabay.com/female_names_alpha.htm
GEORGIA,f,0.091,"138,146",231,1990,http://names.mongabay.com/female_names_alpha.htm
GEORGIANA,f,0.005,"7,590",1333,1990,http://names.mongabay.com/female_names_alpha.htm
GEORGIANN,f,0.001,"1,518",3325,1990,http://names.mongabay.com/female_names_alpha.htm
GEORGIANNA,f,0.005,"7,590",1386,1990,http://names.mongabay.com/female_names_alpha.htm
GEORGIANNE,f,0.001,"1,518",4061,1990,http://names.mongabay.com/female_names_alpha.htm
GEORGIE,f,0.004,"6,072",1452,1990,http://names.mongabay.com/female_names_alpha.htm
GEORGINA,f,0.015,"22,771",717,1990,http://names.mongabay.com/female_names_alpha.htm
GEORGINE,f,0.002,"3,036",2567,1990,http://names.mongabay.com/female_names_alpha.htm
GERALD,f,0.001,"1,518",3565,1990,http://names.mongabay.com/female_names_alpha.htm
GERALDINE,f,0.141,"214,051",161,1990,http://names.mongabay.com/female_names_alpha.htm
GERALYN,f,0.003,"4,554",1727,1990,http://names.mongabay.com/female_names_alpha.htm
GERDA,f,0.004,"6,072",1552,1990,http://names.mongabay.com/female_names_alpha.htm
GERI,f,0.008,"12,145",1049,1990,http://names.mongabay.com/female_names_alpha.htm
GERMAINE,f,0.008,"12,145",1005,1990,http://names.mongabay.com/female_names_alpha.htm
GERRI,f,0.005,"7,590",1441,1990,http://names.mongabay.com/female_names_alpha.htm
GERRY,f,0.005,"7,590",1343,1990,http://names.mongabay.com/female_names_alpha.htm
GERTHA,f,0.002,"3,036",2723,1990,http://names.mongabay.com/female_names_alpha.htm
GERTIE,f,0.005,"7,590",1369,1990,http://names.mongabay.com/female_names_alpha.htm
GERTRUD,f,0.002,"3,036",2395,1990,http://names.mongabay.com/female_names_alpha.htm
GERTRUDE,f,0.103,"156,363",207,1990,http://names.mongabay.com/female_names_alpha.htm
GERTRUDIS,f,0.001,"1,518",4155,1990,http://names.mongabay.com/female_names_alpha.htm
GERTUDE,f,0.001,"1,518",3173,1990,http://names.mongabay.com/female_names_alpha.htm
GHISLAINE,f,0.001,"1,518",4154,1990,http://names.mongabay.com/female_names_alpha.htm
GIA,f,0.002,"3,036",2213,1990,http://names.mongabay.com/female_names_alpha.htm
GIANNA,f,0.001,"1,518",3132,1990,http://names.mongabay.com/female_names_alpha.htm
GIDGET,f,0.001,"1,518",3647,1990,http://names.mongabay.com/female_names_alpha.htm
GIGI,f,0.002,"3,036",2163,1990,http://names.mongabay.com/female_names_alpha.htm
GILBERTE,f,0.001,"1,518",4244,1990,http://names.mongabay.com/female_names_alpha.htm
GILDA,f,0.009,"13,663",958,1990,http://names.mongabay.com/female_names_alpha.htm
GILLIAN,f,0.006,"9,109",1252,1990,http://names.mongabay.com/female_names_alpha.htm
GILMA,f,0.001,"1,518",4153,1990,http://names.mongabay.com/female_names_alpha.htm
GINA,f,0.099,"150,291",213,1990,http://names.mongabay.com/female_names_alpha.htm
GINETTE,f,0.001,"1,518",3219,1990,http://names.mongabay.com/female_names_alpha.htm
GINGER,f,0.034,"51,615",428,1990,http://names.mongabay.com/female_names_alpha.htm
GINNY,f,0.005,"7,590",1401,1990,http://names.mongabay.com/female_names_alpha.htm
GIOVANNA,f,0.003,"4,554",1710,1990,http://names.mongabay.com/female_names_alpha.htm
